Top Gun: Ases Indomáveis,1986,6.9,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
"Não Se Preocupe, Querida",2022,6.2,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.
Magic Mike 3 - A Última Dança,2023,5.9,"Mike takes to the stage again, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. Mike heads to London with a wealthy socialite who lures him with an offer he can't refuse."
Irmãos de Honra,2022,6.6,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.
Noites Brutais,2022,7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.
Pantera Negra,2018,7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
Interestelar,2014,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Bank of Dave,2023,7.2,Based on the true-life experiences of Dave Fishwick; 'Bank of Dave' tells the story of how a working class Burnley man and self-made millionaire fought to set up a community bank.
Adão Negro,2022,6.4,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
Pearl,2022,7.0,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm."
Um Sonho de Liberdade,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Sorria,2022,6.6,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity."
Mistério no Mediterrâneo,2019,6.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire."
"RRR: Revolta, Rebelião, Revolução",2022,7.9,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
Pamela Anderson - Uma História de Amor,2023,7.3,"Follows the life of pop culture icon Pamela Anderson, including never-before-seen archival footage and personal journals."
Era Uma Vez Em... Hollywood,2019,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
O Homem do Norte,2022,7.1,A young Viking prince is on a quest to avenge his father's murder.
Left Behind: Rise of the Antichrist,2023,4.2,"The only light after the world falls into chaos is a charming new leader who rises to the head of the UN, but does he bring hope for a better future? Or is it the end of the world?"
Sound of Silence,2023,5.4,"After her father ends up in the hospital, Emma flies back from New York to her hometown in Italy and stays at her parents' home. All alone in the house, she faces an evil entity that is connected to a cursed radio. Emma will have to unveil the dark secret behind the radio to surv... Read all"
Não! Não Olhe!,2022,6.9,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.
Titanic,1997,7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Harry Potter e a Pedra Filosofal,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Close,2022,7.9,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility."
Love,2015,6.1,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
A Queda,2022,6.4,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower."
Living,2022,7.5,"In 1950s London, a humorless civil servant decides to take time off work to experience life after receiving a grim diagnosis."
Quando você terminar de salvar o mundo,2022,5.7,"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school."
Dança com Lobos,1990,8.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
Noite Infeliz,2022,6.7,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas)."
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
O Lobo de Wall Street,2013,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Pulp Fiction: Tempo de Violência,1994,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Psicopata Americano,2000,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Missão Majnu,2023,7.7,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan."
A Mulher Rei,2022,6.7,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries."
Homem-Aranha: Sem Volta para Casa,2021,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
Batman: O Cavaleiro das Trevas,2008,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
A Vida Depois,2021,7.0,"High schooler Vada navigates the emotional fallout she experiences in the wake of a school tragedy. Relationships with her family, friends and view of the world are forever altered."
Sick,2022,6.1,"Due to the pandemic, Parker and her best friend decide to quarantine at the family lake house alone - or so they think."
